2026-01-28 02:16:08 [DEBUG] macro_scraper: Logger initialised. Log file: /Users/maxkyrylyuk/Desktop/macro_te_scraper/logs/run_20260128_021608.log
2026-01-28 02:16:28 [DEBUG] macro_scraper: unemployment row cells: ['Unemployment Rate', '4.4', '4.5', '14.8', '2.5', 'percent', 'Dec/25']
2026-01-28 02:16:31 [DEBUG] macro_scraper: inflation_mom row cells: ['Inflation Rate MoM', '0.3', '0.3', '2', '-1.8', 'percent', 'Dec/25']
2026-01-28 02:16:33 [DEBUG] macro_scraper: interest_rate row cells: ['Interest Rate', '3.75', '4', '20', '0.25', 'percent', 'Dec/25']
2026-01-28 02:16:35 [DEBUG] macro_scraper: retail_sales_mom row cells: ['Retail Sales MoM', '0.6', '-0.1', '19.3', '-14.4', 'percent', 'Nov/25']
2026-01-28 02:16:38 [DEBUG] macro_scraper: services_pmi row cells: ['Services PMI', '52.5', '52.5', '70.4', '26.7', 'points', 'Jan/26']
2026-01-28 02:16:40 [DEBUG] macro_scraper: manufacturing_pmi row cells: ['Manufacturing PMI', '51.9', '51.8', '63.4', '36.1', 'points', 'Jan/26']
2026-01-28 02:16:42 [DEBUG] macro_scraper: ppi row cells: ['Producer Price Inflation MoM', '0.2', '0.1', '1.7', '-1.2', 'percent', 'Nov/25']
2026-01-28 02:16:44 [DEBUG] macro_scraper: gdp_growth_qoq row cells: ['GDP Growth Rate', '4.4', '3.8', '34.9', '-28', 'percent', 'Sep/25']
2026-01-28 02:16:49 [DEBUG] macro_scraper: unemployment row cells: ['Unemployment Rate', '2.6', '2.6', '5.5', '1', 'percent', 'Nov/25']
2026-01-28 02:16:52 [DEBUG] macro_scraper: inflation_mom row cells: ['Inflation Rate MoM', '-0.1', '0.3', '4.1', '-1.1', 'percent', 'Dec/25']
2026-01-28 02:16:54 [DEBUG] macro_scraper: interest_rate row cells: ['Interest Rate', '0.75', '0.75', '9', '-0.1', 'percent', 'Jan/26']
2026-01-28 02:16:57 [DEBUG] macro_scraper: retail_sales_mom row cells: ['Retail Sales MoM', '0.6', '1.6', '11.6', '-13.7', 'percent', 'Nov/25']
2026-01-28 02:16:59 [DEBUG] macro_scraper: services_pmi row cells: ['Services PMI', '53.4', '51.6', '55.9', '21.5', 'points', 'Jan/26']
2026-01-28 02:17:01 [DEBUG] macro_scraper: manufacturing_pmi row cells: ['Manufacturing PMI', '51.5', '50', '56.2', '29.6', 'points', 'Jan/26']
2026-01-28 02:17:04 [DEBUG] macro_scraper: ppi row cells: ['Producer Price Inflation MoM', '0.1', '0.3', '7.4', '-1.9', 'percent', 'Dec/25']
2026-01-28 02:17:06 [DEBUG] macro_scraper: gdp_growth_qoq row cells: ['GDP Growth Rate', '-0.6', '0.5', '5.3', '-7.6', 'percent', 'Sep/25']
