2026-01-28 20:31:26 [DEBUG] macro_scraper: Logger initialised. Log file: /Users/maxkyrylyuk/Desktop/macro_te_scraper/logs/run_20260128_203126.log
2026-01-28 20:32:13 [DEBUG] macro_scraper: unemployment row cells: ['Unemployment Rate', '6.3', '6.4', '12.2', '6.2', 'percent', 'Nov/25']
2026-01-28 20:32:15 [DEBUG] macro_scraper: inflation_mom row cells: ['Inflation Rate MoM', '0.2', '-0.3', '2.4', '-1.5', 'percent', 'Dec/25']
2026-01-28 20:32:18 [DEBUG] macro_scraper: interest_rate row cells: ['Interest Rate', '2.15', '2.15', '4.75', '0', 'percent', 'Dec/25']
2026-01-28 20:32:20 [DEBUG] macro_scraper: retail_sales_mom row cells: ['Retail Sales MoM', '0.2', '0.3', '19.3', '-11.3', 'percent', 'Nov/25']
2026-01-28 20:32:22 [DEBUG] macro_scraper: services_pmi row cells: ['Services PMI', '51.9', '52.4', '59.8', '12', 'points', 'Jan/26']
2026-01-28 20:32:25 [DEBUG] macro_scraper: manufacturing_pmi row cells: ['Manufacturing PMI', '49.4', '48.8', '63.4', '33.4', 'points', 'Jan/26']
2026-01-28 20:32:27 [DEBUG] macro_scraper: ppi row cells: ['Producer Price Inflation MoM', '0.5', '0.1', '5.9', '-3.1', 'percent', 'Nov/25']
2026-01-28 20:32:29 [DEBUG] macro_scraper: gdp_growth_qoq row cells: ['GDP Growth Rate', '0.3', '0.1', '11.6', '-11.1', 'percent', 'Sep/25']
2026-01-28 20:32:34 [DEBUG] macro_scraper: unemployment row cells: ['Unemployment Rate', '5.1', '5.1', '11.9', '3.4', 'percent', 'Nov/25']
2026-01-28 20:32:37 [DEBUG] macro_scraper: inflation_mom row cells: ['Inflation Rate MoM', '0.4', '-0.2', '3.5', '-1', 'percent', 'Dec/25']
2026-01-28 20:32:39 [DEBUG] macro_scraper: interest_rate row cells: ['Interest Rate', '3.75', '4', '17', '0.1', 'percent', 'Dec/25']
2026-01-28 20:32:41 [DEBUG] macro_scraper: retail_sales_mom row cells: ['Retail Sales MoM', '0.4', '-0.1', '13.5', '-17.9', 'percent', 'Dec/25']
2026-01-28 20:32:44 [DEBUG] macro_scraper: services_pmi row cells: ['Services PMI', '54.3', '51.4', '62.9', '13.4', 'points', 'Jan/26']
2026-01-28 20:32:46 [DEBUG] macro_scraper: manufacturing_pmi row cells: ['Manufacturing PMI', '51.6', '50.6', '65.6', '32.6', 'points', 'Jan/26']
2026-01-28 20:32:48 [DEBUG] macro_scraper: ppi row cells: ['Producer Price Inflation MoM', '0', '0.1', '2.8', '-2.1', 'percent', 'Dec/25']
2026-01-28 20:32:51 [DEBUG] macro_scraper: gdp_growth_qoq row cells: ['GDP Growth Rate', '0.1', '0.2', '17', '-19.9', 'percent', 'Sep/25']
